activity_id,competitor_id,technology_id,adoption_status,market_activity_score,launch_year,investment_level
61,3,7,Pilot,7,2026,Medium
62,4,7,Adopted,6,2025,High
63,7,8,Not Adopted,8,2027,High
64,9,8,Adopted,4,2025,Low
65,6,8,Research,3,2027,High
66,8,8,Research,7,2026,Medium
67,4,8,Not Adopted,7,2026,High
68,3,8,Adopted,3,2024,High
69,12,8,Pilot,3,2024,Medium
70,1,9,Adopted,8,2025,Medium
71,7,9,Pilot,6,2024,Low
72,3,9,Pilot,3,2024,High
73,12,9,Adopted,8,2026,High
74,6,9,Pilot,6,2026,Low
75,5,9,Adopted,3,2027,Medium
76,11,9,Not Adopted,6,2025,Medium
77,10,9,Research,10,2028,Medium
78,8,9,Pilot,6,2028,Low
79,9,9,Adopted,4,2028,Low
80,10,10,Pilot,3,2024,Low
81,8,10,Research,8,2027,High
82,3,10,Pilot,8,2025,Medium
83,9,10,Research,10,2025,Medium
84,1,10,Pilot,6,2026,Medium
85,4,10,Pilot,9,2025,Low
86,5,10,Research,6,2024,Medium
87,6,10,Not Adopted,4,2027,High
88,12,10,Adopted,10,2026,Low
89,11,10,Pilot,10,2024,Medium
90,7,10,Not Adopted,3,2027,High
91,2,10,Adopted,9,2024,Low
92,7,11,Not Adopted,7,2028,Low
93,8,11,Not Adopted,5,2025,Low
94,6,11,Research,8,2027,Medium
95,2,11,Adopted,6,2026,Medium
96,12,11,Not Adopted,6,2025,Medium
97,4,12,Research,7,2028,Low
98,3,12,Research,10,2027,High
99,9,12,Not Adopted,5,2024,High
100,11,12,Not Adopted,6,2024,Medium
101,6,12,Not Adopted,10,2027,Low
102,2,12,Adopted,6,2028,High
103,10,12,Adopted,8,2027,Low
104,7,12,Research,5,2028,Low
105,11,13,Adopted,5,2024,Low
106,1,13,Adopted,8,2024,High
107,9,13,Pilot,10,2025,Medium
108,2,13,Pilot,7,2027,Low
109,7,13,Not Adopted,5,2024,High
110,12,14,Pilot,4,2024,Low
111,8,14,Research,9,2026,Low
112,5,14,Research,4,2026,High
113,4,14,Adopted,8,2027,Low
114,2,14,Pilot,6,2026,Medium
115,6,14,Research,3,2024,Low
116,7,14,Adopted,4,2026,Medium
117,10,14,Adopted,3,2027,Low
118,1,14,Not Adopted,10,2028,Low
119,11,14,Research,9,2026,Medium
120,9,14,Research,4,2025,High
121,3,14,Research,7,2024,Low
122,11,15,Adopted,4,2025,Low
123,1,15,Adopted,10,2028,Medium
124,10,15,Adopted,10,2028,Low
125,3,15,Not Adopted,5,2028,High
126,7,15,Pilot,3,2024,Medium
127,6,15,Research,7,2025,Medium
128,2,15,Adopted,4,2026,Medium
129,4,16,Adopted,10,2025,High
130,8,16,Pilot,3,2028,High
131,2,16,Adopted,4,2026,High
132,11,16,Research,3,2026,High
133,10,16,Not Adopted,8,2024,Medium
134,6,16,Pilot,10,2026,High
135,9,16,Research,8,2027,Medium
136,1,16,Pilot,10,2027,Low
137,7,16,Adopted,6,2024,Low
138,3,16,Pilot,6,2028,Low
139,10,17,Pilot,10,2026,Low
140,3,17,Adopted,9,2026,Medium
141,9,17,Not Adopted,8,2027,High
142,8,17,Research,7,2027,Medium
143,1,17,Pilot,9,2024,Low
144,3,18,Research,4,2028,Medium
145,12,18,Pilot,7,2025,Medium
146,6,18,Pilot,8,2028,High
147,9,18,Adopted,6,2025,Medium
148,8,18,Pilot,6,2028,Low
149,4,18,Not Adopted,5,2028,Medium
150,5,18,Research,5,2025,High
151,11,18,Pilot,10,2027,Medium
152,2,18,Research,6,2028,High
153,1,18,Pilot,5,2027,Low
154,10,19,Adopted,8,2026,Medium
155,1,19,Pilot,6,2027,Medium
156,7,19,Not Adopted,4,2024,Low
157,2,19,Research,10,2025,Low
158,12,19,Not Adopted,7,2027,Low
159,4,19,Pilot,7,2024,Low
160,9,19,Not Adopted,8,2024,Medium
161,3,19,Pilot,3,2025,High
162,11,20,Pilot,10,2024,Low
163,5,20,Research,5,2025,Low
164,12,20,Not Adopted,9,2024,Medium
165,1,20,Research,7,2027,High
166,3,20,Pilot,3,2026,High
167,2,20,Research,4,2026,Low
168,7,20,Research,5,2027,Low
169,10,20,Pilot,5,2024,Medium
170,9,20,Not Adopted,5,2025,Low
171,7,21,Not Adopted,7,2024,High
172,4,21,Pilot,8,2028,High
173,2,21,Not Adopted,4,2027,High
174,12,21,Research,3,2028,High
175,1,21,Not Adopted,9,2028,High
176,8,21,Research,3,2028,Low
177,3,21,Adopted,9,2025,Low
178,11,21,Not Adopted,3,2028,High
179,10,21,Pilot,5,2025,Low
180,6,21,Adopted,10,2024,Low
181,5,21,Adopted,5,2024,Medium
182,9,21,Research,10,2027,Low
183,11,22,Adopted,9,2026,Low
184,3,22,Not Adopted,5,2024,Medium
185,10,22,Pilot,3,2028,High
186,7,22,Pilot,7,2026,Medium
187,4,22,Pilot,8,2024,Low
188,9,22,Adopted,8,2026,High
189,6,22,Pilot,5,2027,Low
190,2,22,Adopted,10,2028,Medium
191,12,22,Adopted,9,2025,Low
192,11,23,Adopted,7,2027,Low
193,1,23,Not Adopted,8,2025,High
194,4,23,Research,8,2027,Medium
195,7,23,Pilot,9,2025,Low
196,2,24,Research,5,2024,High
197,6,24,Adopted,3,2024,Low
198,4,24,Not Adopted,10,2028,Low
199,11,24,Not Adopted,4,2026,Low
200,2,25,Adopted,5,2028,High
201,9,25,Research,9,2028,Low
202,5,25,Adopted,9,2026,High
203,4,25,Not Adopted,8,2027,Low
204,11,25,Adopted,8,2027,Medium
205,8,25,Pilot,10,2027,High
206,10,25,Not Adopted,10,2024,High
207,2,26,Adopted,9,2024,Medium
208,12,26,Research,3,2028,Medium
209,8,26,Pilot,10,2028,High
210,1,26,Research,5,2026,High
211,4,26,Pilot,10,2027,Low
212,5,26,Research,9,2025,Medium
213,10,26,Not Adopted,4,2025,Low
214,6,26,Research,7,2025,High
215,7,26,Not Adopted,4,2028,Medium
216,12,27,Research,9,2024,High
217,1,27,Research,6,2027,High
218,9,27,Research,10,2024,High
219,3,27,Adopted,7,2026,Low
220,2,27,Adopted,4,2027,Low
221,4,27,Pilot,9,2025,Medium
222,11,28,Pilot,8,2024,Medium
223,2,28,Adopted,8,2028,Low
224,1,28,Pilot,5,2028,High
225,8,28,Not Adopted,8,2025,Low
226,2,29,Research,3,2025,High
227,7,29,Research,4,2027,High
228,4,29,Pilot,6,2026,Medium
229,11,29,Not Adopted,10,2026,High
230,5,29,Adopted,9,2026,Low
231,3,30,Research,5,2027,High
232,7,30,Adopted,4,2027,High
233,11,30,Not Adopted,10,2028,Low
234,9,30,Not Adopted,6,2026,Medium
235,12,30,Pilot,5,2028,Low
236,10,30,Not Adopted,7,2026,Low
237,5,30,Not Adopted,4,2028,High
238,11,31,Not Adopted,4,2027,Medium
239,5,31,Not Adopted,9,2024,High
240,12,31,Not Adopted,5,2026,Medium
241,3,31,Pilot,3,2028,High
242,2,31,Not Adopted,10,2028,Medium
243,9,31,Not Adopted,6,2028,High
244,6,31,Not Adopted,4,2024,Low
245,3,32,Pilot,9,2026,Low
246,11,32,Research,3,2025,Medium
247,12,32,Adopted,3,2028,Low
248,8,32,Not Adopted,10,2024,Low
249,5,32,Pilot,7,2028,High
250,4,32,Research,7,2026,Low
251,6,32,Pilot,7,2028,Low
252,1,32,Not Adopted,5,2024,High
253,2,32,Research,7,2025,High
254,9,32,Research,8,2027,Low
255,8,33,Not Adopted,10,2024,High
256,10,33,Pilot,3,2028,High
257,4,33,Not Adopted,5,2024,Medium
258,2,33,Not Adopted,5,2026,High
259,3,33,Adopted,5,2028,Low
260,6,33,Not Adopted,8,2024,Low
261,6,34,Research,10,2026,Medium
262,2,34,Pilot,5,2025,Low
263,4,34,Adopted,5,2024,High
264,5,34,Adopted,3,2025,Medium
265,3,34,Adopted,9,2024,High
266,9,34,Not Adopted,4,2024,High
267,11,34,Adopted,5,2027,High
268,1,34,Pilot,5,2025,Low
269,7,34,Research,9,2024,Low
270,8,34,Research,10,2026,Medium
271,12,34,Pilot,10,2025,Low
272,10,34,Adopted,6,2024,Medium
273,6,35,Adopted,10,2027,Low
274,4,35,Pilot,3,2024,Medium
275,8,35,Adopted,7,2025,Low
276,12,35,Pilot,4,2027,Medium
277,1,35,Research,8,2025,High
278,11,35,Adopted,3,2026,High
279,9,35,Adopted,4,2026,Low
280,5,35,Research,5,2026,Medium
281,7,35,Not Adopted,9,2025,High
282,3,35,Pilot,3,2026,High
283,10,35,Pilot,6,2027,Medium
284,1,36,Adopted,7,2028,High
285,9,36,Not Adopted,4,2025,High
286,7,36,Not Adopted,3,2025,Medium
287,6,36,Adopted,3,2024,Low
288,1,37,Not Adopted,3,2026,Medium
289,4,37,Not Adopted,3,2028,Low
290,7,37,Adopted,6,2027,High
291,8,37,Pilot,10,2027,Low
292,9,37,Research,4,2025,Low
293,3,37,Pilot,5,2024,Low
294,12,37,Not Adopted,4,2026,Low
295,2,37,Research,9,2024,High
296,11,37,Pilot,4,2025,Low
297,10,37,Pilot,4,2027,High
298,5,37,Not Adopted,3,2024,Low
299,6,38,Not Adopted,7,2025,Low
300,10,38,Pilot,7,2025,Medium
301,1,38,Pilot,10,2025,Low
302,9,38,Pilot,7,2024,Medium
303,8,38,Pilot,8,2028,Medium
304,5,39,Research,9,2025,Medium
305,12,39,Research,5,2025,Medium
306,3,39,Not Adopted,4,2028,High
307,9,39,Adopted,6,2025,Medium
308,10,39,Pilot,5,2027,Medium
309,7,39,Pilot,10,2024,Low
310,4,39,Adopted,4,2025,High
311,12,40,Not Adopted,10,2026,High
312,2,40,Not Adopted,7,2024,Low
313,11,40,Not Adopted,8,2027,High
314,1,40,Adopted,9,2027,Low
315,5,40,Pilot,8,2025,High
316,5,41,Pilot,4,2025,Low
317,1,41,Not Adopted,10,2026,High
318,6,41,Research,4,2027,Low
319,9,41,Adopted,3,2028,Low
320,4,41,Pilot,9,2027,Low
321,10,41,Adopted,7,2028,High
322,12,41,Adopted,8,2026,Medium
323,2,41,Not Adopted,8,2025,Medium
324,6,42,Not Adopted,3,2025,High
325,11,42,Pilot,10,2027,High
326,7,42,Not Adopted,8,2026,Medium
327,10,42,Not Adopted,5,2028,Medium
328,3,42,Research,8,2028,Medium
329,1,43,Adopted,3,2027,High
330,7,43,Adopted,10,2025,High
331,2,43,Research,3,2025,Medium
332,9,43,Research,8,2025,Low
333,12,44,Pilot,5,2025,Low
334,5,44,Adopted,10,2028,Low
335,9,44,Not Adopted,6,2027,Low
336,2,44,Research,9,2026,Low
337,10,44,Pilot,3,2024,Low
338,10,45,Research,3,2026,Low
339,8,45,Adopted,10,2025,Medium
340,3,45,Pilot,6,2026,Medium
341,11,45,Research,5,2027,Low
342,2,45,Pilot,10,2024,Medium
343,4,46,Not Adopted,9,2024,Low
344,12,46,Adopted,7,2027,High
345,10,46,Pilot,4,2024,Medium
346,1,46,Pilot,4,2025,Medium
347,2,46,Pilot,4,2026,Low
348,8,46,Not Adopted,3,2028,High
349,7,46,Not Adopted,8,2026,High
350,11,46,Pilot,10,2025,Low
351,5,46,Pilot,8,2027,Medium
352,6,46,Research,9,2027,Medium
353,6,47,Pilot,3,2025,High
354,8,47,Not Adopted,6,2024,Medium
355,12,47,Adopted,7,2024,Medium
356,7,47,Pilot,10,2026,Medium
357,10,47,Pilot,9,2027,High
358,5,48,Pilot,10,2026,Low
359,3,48,Not Adopted,10,2026,Medium
360,1,48,Research,6,2026,High
361,8,48,Not Adopted,6,2026,High
362,9,48,Adopted,3,2027,High
363,10,48,Pilot,9,2025,Medium
364,11,48,Not Adopted,7,2028,Low
365,12,48,Not Adopted,10,2027,High
366,6,48,Adopted,6,2026,Medium
367,2,48,Adopted,3,2026,Low
368,1,49,Research,6,2024,Low
369,4,49,Not Adopted,10,2027,Medium
370,3,49,Research,5,2028,Low
371,8,49,Research,9,2028,Medium
372,12,49,Pilot,3,2028,Low
373,7,49,Pilot,3,2027,Medium
374,2,49,Not Adopted,5,2025,High
375,9,49,Research,10,2025,High
376,6,49,Pilot,10,2025,Medium
377,5,49,Adopted,9,2024,Medium
378,10,50,Not Adopted,3,2027,Medium
379,6,50,Pilot,6,2024,Low
380,3,50,Pilot,5,2024,Low
381,12,50,Research,5,2027,High
382,1,50,Research,3,2028,Low
383,7,50,Adopted,10,2024,Medium
384,11,50,Adopted,4,2026,Low
385,9,50,Adopted,8,2025,Medium
386,8,50,Not Adopted,10,2024,Medium
387,5,51,Research,7,2027,High
388,1,51,Pilot,6,2026,Low
389,6,51,Not Adopted,10,2025,Medium
390,8,51,Adopted,5,2025,Medium
391,2,51,Pilot,5,2025,Low
392,10,51,Not Adopted,5,2024,High
393,4,51,Pilot,8,2026,Medium
394,7,52,Research,3,2027,Low
395,5,52,Not Adopted,3,2028,High
396,10,52,Research,6,2026,Medium
397,11,52,Research,8,2027,Low
398,5,53,Research,5,2024,Medium
399,9,53,Research,3,2028,High
400,1,53,Adopted,7,2024,Medium
401,12,53,Adopted,9,2028,High
402,3,53,Not Adopted,7,2027,High
403,6,53,Not Adopted,7,2027,Medium
404,4,53,Pilot,6,2026,High
405,2,53,Research,6,2026,High
406,10,53,Adopted,3,2028,Medium
407,11,53,Adopted,7,2026,High
408,8,53,Pilot,10,2027,Low
409,7,53,Pilot,10,2027,High
410,10,54,Adopted,9,2024,High
411,6,54,Adopted,5,2028,Medium
412,7,54,Research,10,2026,High
413,1,54,Pilot,3,2027,High
414,11,54,Pilot,10,2024,Low
415,4,54,Research,9,2024,High
416,8,54,Research,9,2024,Medium
417,3,54,Research,10,2027,High
418,9,54,Adopted,7,2028,Medium
419,2,54,Pilot,3,2024,Medium
420,5,54,Research,4,2025,High
421,12,54,Adopted,8,2027,Medium
422,4,55,Research,4,2024,High
423,6,55,Not Adopted,6,2026,Medium
424,8,55,Not Adopted,6,2027,Medium
425,10,55,Adopted,9,2024,Low
426,9,55,Pilot,10,2025,Medium
427,2,55,Pilot,6,2028,Medium
428,12,55,Research,10,2024,High
429,4,56,Not Adopted,9,2028,Medium
430,10,56,Adopted,8,2028,High
431,11,56,Pilot,6,2028,High
432,1,56,Pilot,7,2026,Low
433,9,56,Pilot,10,2025,Low
434,6,56,Research,6,2026,High
435,2,56,Research,9,2024,Low
436,4,57,Research,9,2028,Low
437,1,57,Adopted,3,2025,Medium
438,6,57,Not Adopted,5,2024,High
439,7,57,Not Adopted,6,2025,Medium
440,8,57,Adopted,9,2028,High
441,2,57,Research,6,2028,Medium
442,3,57,Not Adopted,9,2025,High
443,9,57,Adopted,3,2027,Medium
444,12,57,Not Adopted,5,2026,Medium
445,10,57,Not Adopted,4,2025,High
446,5,57,Not Adopted,4,2024,Medium
447,11,57,Not Adopted,4,2024,Low
448,8,58,Adopted,8,2024,Medium
449,4,58,Adopted,4,2024,High
450,12,58,Not Adopted,4,2024,Low
451,9,58,Research,7,2027,Medium
452,7,58,Pilot,7,2027,High
453,11,58,Adopted,8,2028,Low
454,10,58,Adopted,10,2025,High
455,2,58,Research,10,2025,Low
456,6,58,Not Adopted,5,2026,Low
457,1,58,Adopted,7,2025,Low
458,3,58,Not Adopted,3,2028,Medium
459,4,59,Research,8,2027,Low
460,7,59,Pilot,10,2025,Medium
461,2,59,Research,6,2024,High
462,6,59,Research,4,2027,High
463,1,59,Adopted,4,2027,Medium
464,11,59,Not Adopted,3,2027,Low
465,6,60,Pilot,9,2027,Medium
466,10,60,Research,7,2028,Medium
467,8,60,Not Adopted,6,2026,Medium
468,2,60,Not Adopted,8,2028,High
469,12,60,Pilot,7,2026,Medium
470,12,61,Research,10,2028,High
471,11,61,Research,9,2028,Medium
472,3,61,Adopted,6,2028,High
473,1,61,Not Adopted,7,2026,High
474,6,61,Adopted,3,2026,High
475,4,61,Adopted,8,2027,Low
476,5,61,Not Adopted,7,2026,High
477,3,62,Adopted,4,2027,Medium
478,10,62,Not Adopted,10,2025,Low
479,1,62,Not Adopted,7,2024,Low
480,6,62,Research,5,2026,High
481,5,62,Research,8,2028,Medium
482,2,62,Pilot,7,2027,Low
483,3,63,Pilot,9,2027,High
484,10,63,Pilot,5,2024,Low
485,11,63,Pilot,7,2027,Low
486,1,63,Pilot,5,2025,High
487,9,63,Pilot,6,2025,High
488,6,63,Adopted,4,2025,High
489,8,63,Not Adopted,5,2024,Medium
490,7,63,Pilot,9,2024,Medium
491,12,63,Research,7,2024,Low
492,5,63,Research,5,2027,Low
493,2,63,Pilot,9,2026,Low
494,4,63,Adopted,9,2025,Low
495,3,64,Research,6,2026,Medium
496,7,64,Not Adopted,6,2024,High
497,2,64,Pilot,8,2025,High
498,12,64,Adopted,3,2028,Low
499,9,65,Adopted,8,2025,Medium
500,5,65,Not Adopted,4,2026,Low
501,8,65,Not Adopted,5,2028,Medium
502,1,65,Adopted,10,2027,Medium
503,12,65,Not Adopted,6,2025,Medium
504,12,66,Not Adopted,4,2024,Medium
505,1,66,Adopted,6,2024,Medium
506,9,66,Research,7,2027,Medium
507,5,66,Research,10,2024,Medium
508,6,66,Pilot,6,2025,Medium
509,10,67,Not Adopted,9,2025,Low
510,9,67,Pilot,6,2028,Medium
511,3,67,Adopted,9,2025,High
512,8,67,Pilot,3,2024,High
513,2,67,Not Adopted,7,2028,Medium
514,1,67,Pilot,4,2025,Low
515,4,67,Not Adopted,10,2026,Medium
516,1,68,Research,5,2024,Medium
517,11,68,Pilot,10,2026,Medium
518,4,68,Research,8,2025,Low
519,10,68,Not Adopted,7,2026,Low
520,7,68,Not Adopted,6,2028,Medium
521,3,68,Research,3,2025,Medium
522,2,68,Pilot,3,2027,High
523,8,69,Research,7,2025,Low
524,1,69,Not Adopted,3,2028,Medium
525,3,69,Pilot,10,2026,Low
526,5,69,Not Adopted,3,2028,Low
527,9,69,Pilot,9,2026,Medium
528,8,70,Adopted,9,2027,Medium
529,11,70,Not Adopted,9,2024,Low
530,4,70,Not Adopted,4,2028,High
531,12,70,Pilot,9,2028,Medium
532,3,70,Pilot,10,2026,High
533,1,70,Adopted,5,2028,Low
534,10,70,Adopted,3,2024,High
535,2,70,Not Adopted,9,2027,High
536,7,70,Pilot,3,2028,Medium
537,9,70,Not Adopted,10,2028,High
538,11,71,Not Adopted,9,2025,Medium
539,1,71,Adopted,7,2025,Medium
540,7,71,Pilot,4,2025,High
541,9,71,Adopted,9,2024,Low
542,6,71,Research,4,2027,Low
543,3,71,Research,3,2025,High
544,10,71,Not Adopted,3,2026,High
545,4,71,Adopted,3,2027,Low
546,2,71,Pilot,5,2027,Low
547,5,71,Research,9,2024,Medium
548,10,72,Research,8,2024,High
549,11,72,Research,10,2024,Low
550,2,72,Pilot,6,2024,Medium
551,3,72,Adopted,8,2024,High
552,6,72,Not Adopted,10,2025,High
553,4,72,Adopted,4,2028,Low
554,1,72,Adopted,8,2024,High
555,9,72,Pilot,7,2027,Medium
556,7,72,Adopted,6,2027,High
557,12,72,Research,6,2028,High
558,8,72,Adopted,10,2028,Low
559,5,72,Not Adopted,6,2028,Medium
560,5,73,Pilot,7,2027,Medium
561,3,73,Not Adopted,3,2024,Low
562,10,73,Not Adopted,6,2027,Low
563,2,73,Pilot,4,2024,High
564,7,73,Research,8,2026,Low
565,6,73,Research,5,2028,Medium
566,9,73,Adopted,3,2025,Medium
567,12,73,Research,8,2028,Medium
568,8,73,Not Adopted,3,2024,Low
569,1,73,Pilot,7,2028,Medium
570,4,73,Not Adopted,5,2028,Low
571,11,74,Adopted,9,2028,Low
572,10,74,Not Adopted,4,2024,Medium
573,9,74,Not Adopted,8,2028,Low
574,4,74,Adopted,5,2025,Medium
575,8,74,Pilot,3,2025,Low
576,6,74,Pilot,7,2024,Medium
577,1,74,Pilot,4,2027,High
578,12,74,Research,8,2028,Low
579,9,75,Research,6,2028,Low
580,10,75,Not Adopted,3,2027,Medium
581,6,75,Pilot,6,2025,High
582,1,75,Pilot,7,2024,Medium
583,11,75,Adopted,7,2024,Medium
584,8,75,Not Adopted,6,2028,Medium
585,4,75,Not Adopted,5,2026,Low
586,12,75,Research,10,2026,High
587,5,75,Adopted,8,2027,High
588,2,76,Adopted,4,2028,Low
589,1,76,Not Adopted,8,2025,Medium
590,9,76,Pilot,8,2025,High
591,4,76,Adopted,8,2024,Low
592,10,76,Not Adopted,7,2025,Medium
593,7,76,Pilot,5,2027,Low
594,6,76,Research,5,2026,Low
595,5,76,Adopted,8,2025,High
596,8,76,Pilot,6,2025,Low
597,3,76,Not Adopted,8,2028,Medium
598,12,76,Pilot,3,2028,High
599,2,77,Pilot,10,2028,High
600,9,77,Pilot,6,2026,Low
601,3,77,Research,9,2026,Medium
602,7,77,Not Adopted,10,2024,High
603,8,77,Not Adopted,5,2027,Medium
604,5,77,Research,4,2026,Medium
605,1,77,Pilot,5,2026,Low
606,12,77,Pilot,4,2024,Low
607,10,77,Not Adopted,7,2024,High
608,6,77,Research,5,2025,High
609,4,77,Not Adopted,8,2025,High
610,11,77,Adopted,8,2025,High
611,7,78,Adopted,6,2027,Low
612,10,78,Research,8,2025,Medium
613,6,78,Adopted,6,2025,Medium
614,4,78,Not Adopted,8,2027,High
615,2,78,Research,9,2026,Low
616,9,79,Adopted,9,2024,Low
617,12,79,Research,3,2026,Medium
618,6,79,Research,5,2027,Low
619,10,79,Not Adopted,7,2024,High
620,11,79,Pilot,6,2028,Low
621,3,79,Adopted,3,2028,Medium
622,5,79,Pilot,4,2026,Low
623,1,79,Research,4,2025,High
624,12,80,Not Adopted,7,2026,High
625,11,80,Pilot,6,2025,Low
626,10,80,Pilot,5,2024,Medium
627,3,80,Pilot,10,2028,Low
628,5,80,Adopted,4,2025,Low
629,1,81,Pilot,4,2028,Medium
630,8,81,Adopted,6,2024,Medium
631,10,81,Not Adopted,10,2026,Medium
632,6,81,Research,5,2027,High
633,5,82,Adopted,6,2027,Medium
634,8,82,Pilot,10,2024,High
635,2,82,Research,3,2028,High
636,7,82,Pilot,5,2025,High
637,12,82,Research,9,2026,Low
638,9,83,Pilot,9,2028,High
639,3,83,Pilot,3,2026,High
640,1,83,Research,3,2025,High
641,8,83,Research,10,2026,High
642,11,83,Not Adopted,4,2026,Medium
643,12,83,Not Adopted,7,2024,High
644,2,83,Research,3,2026,Low
645,6,84,Not Adopted,4,2026,Low
646,3,84,Research,8,2026,Medium
647,8,84,Research,4,2024,High
648,12,84,Research,5,2026,Medium
649,11,84,Research,6,2025,Low
650,9,84,Not Adopted,8,2024,High
651,7,84,Pilot,5,2027,Medium
652,2,85,Adopted,5,2027,Low
653,1,85,Not Adopted,8,2026,Medium
654,5,85,Pilot,8,2028,Low
655,3,85,Pilot,5,2027,High
656,1,86,Research,6,2024,Medium
657,3,86,Adopted,6,2024,Low
658,2,86,Pilot,10,2026,High
659,9,86,Pilot,3,2027,Medium
660,10,86,Not Adopted,9,2025,High
661,4,86,Research,5,2024,Medium
662,7,86,Research,3,2027,Low
663,6,86,Adopted,3,2024,Medium
664,5,86,Pilot,3,2026,High
665,8,86,Adopted,9,2028,High
666,11,86,Research,4,2025,Medium
667,9,87,Pilot,10,2026,High
668,8,87,Not Adopted,10,2028,Medium
669,10,87,Not Adopted,5,2026,Medium
670,2,87,Adopted,6,2027,Low
671,1,87,Pilot,4,2026,High
672,3,87,Pilot,9,2027,Low
673,12,87,Not Adopted,5,2024,Low
674,6,87,Research,10,2026,Low
675,11,87,Adopted,10,2027,Medium
676,7,87,Not Adopted,9,2028,Low
677,5,87,Not Adopted,10,2025,Medium
678,4,87,Research,4,2028,Low
679,10,88,Not Adopted,6,2024,Low
680,11,88,Pilot,9,2026,Medium
681,2,88,Pilot,7,2024,High
682,6,88,Not Adopted,7,2027,High
683,12,89,Pilot,3,2024,Medium
684,5,89,Pilot,4,2024,High
685,8,89,Research,3,2025,High
686,10,89,Research,3,2026,Low
687,4,89,Not Adopted,4,2025,Medium
688,2,89,Not Adopted,5,2026,Low
689,11,89,Not Adopted,10,2026,High
690,6,89,Not Adopted,10,2027,High
691,1,90,Adopted,6,2025,High
692,6,90,Research,7,2026,High
693,12,90,Pilot,5,2027,Medium
694,4,90,Research,5,2026,High
695,9,90,Pilot,5,2026,High
696,11,90,Adopted,4,2028,Medium
697,2,90,Research,7,2024,High
698,10,90,Adopted,4,2026,Low
699,3,90,Adopted,8,2028,High
700,5,90,Adopted,5,2027,Medium
701,8,90,Pilot,6,2024,Medium
702,3,91,Pilot,4,2025,High
703,9,91,Pilot,8,2025,Low
704,11,91,Not Adopted,10,2027,Medium
705,2,91,Research,5,2027,Medium
706,8,91,Not Adopted,5,2028,High
707,1,91,Research,7,2024,High
708,5,91,Not Adopted,7,2026,Low
709,7,91,Adopted,7,2024,Medium
710,10,91,Adopted,4,2025,High
711,4,91,Not Adopted,5,2024,High
712,6,91,Adopted,3,2026,Low
713,5,92,Adopted,6,2026,Medium
714,10,92,Research,7,2027,Medium
715,2,92,Not Adopted,10,2025,Medium
716,11,92,Pilot,9,2028,High
717,4,92,Pilot,3,2028,High
718,6,92,Pilot,3,2024,Low
719,1,92,Adopted,3,2024,Medium
720,1,93,Research,3,2027,High
721,12,93,Research,7,2024,Low
722,8,93,Adopted,5,2024,Medium
723,7,93,Adopted,7,2026,Low
724,4,93,Pilot,8,2027,High
725,5,93,Adopted,4,2028,Low
726,10,93,Adopted,4,2024,Low
727,6,93,Research,9,2025,Medium
728,3,93,Pilot,7,2024,Medium
729,11,94,Not Adopted,9,2028,Medium
730,8,94,Pilot,6,2025,Medium
